Word Order Simple Tenses
Я получил сообщение;I got a message.
Она готовит итальянскую еду;She cooks Italian food.
Мы не плавали в тот день;We didn't swim that day+We did not swim that day.
Мы навещаем родителей по воскресеньям;We visit our parents on Sundays.
Она не знает мой адрес;She doesn't know my address+She does not know my address.
Ты даёшь хорошие советы;You give good advice.
Мы уже сидели здесь раньше?;Did we sit here before?
Он улетел в Лондон;He flew to London.
Он не отправляет сообщения;He doesn't send texts+He does not send texts.
Они носят шляпы?;Do they wear hats?
Мы пишем правильно?;Do we write correctly?
Она вернула книгу;She returned the book.
Здесь часто идёт дождь;It rains a lot here.
Они не согласятся с этими условиями;They won't agree to those terms+They will not agree to those terms.
Мы многому научились;We learned a lot.
Они не согласны с тобой;They don't agree with you+They do not agree with you.
Он владеет красивым домом;He owns a beautiful house.
Он предпочитает тихие места;He prefers quiet places.
Он закрывает окна?;Does he close windows?
Она всё помнит;She remembers everything.
Она живёт с родителями?;Does she live with her parents?
Она осознаёт проблему (recognize the problem);She recognizes the problem.
Она навещала родителей?;Did she visit her parents?
Я не потратил много;I didn't spend much+I did not spend much.
Я не разрушу нашу дружбу (destroy a friendship);I won't destroy our friendship+I will not destroy our friendship.
Я не сохранил документ;I didn't save the document+I did not save the document.
Мы не будем владеть этим вечно;We won't own this forever+We will not own this forever.
Он убирает свою квартиру?;Does he clean his apartment?
Они живут неподалёку?;Do they live nearby?
Он не часто покупает новую одежду;He doesn't buy new clothes often+He does not buy new clothes often.
Я подумаю об этом;I will think about it.
Он осознаёт опасность (recognize danger);He recognizes the danger.
Она не навещала нас на прошлой неделе;She didn't visit us last week+She did not visit us last week.
Мы помним старые времена;We remember the old days.
Она купила билеты?;Did she buy the tickets?
Она предпочла другой вариант?;Did she prefer the other one?
Она предпочла синий;She preferred the blue one.
Ты его не знаешь;You don't know him+You do not know him.
Я запомню этот день;I will remember this day.
Он спал десять часов;He slept for ten hours.
Ты живёшь в большом городе;You live in a big city.
Мы несём тяжёлые сумки;We carry heavy bags.
Она не будет описывать концовку;She won't describe the ending+She will not describe the ending.
Она нарисует карту;She will draw a map.
Она встречается с клиентами утром;She meets clients in the morning.
Они знают дорогу?;Do they know the way?
Мы храним фотографии в коробке;We keep photos in a box.
Я всё вспомнил;I remembered everything.
Они оставили сдачу?;Did they keep the change?
Мы не уложились в срок (meet a deadline);We didn't meet the deadline+We did not meet the deadline.
Он плохо спал;He didn't sleep well+He did not sleep well.
Она пробежала пять километров;She ran five kilometers.
Он кладёт сахар в чай;He puts sugar in his tea.
Он жил в Париже год;He lived in Paris for a year.
Мы будем переживать из-за этого?;Will we worry about this?
Он полетит в Токио;He will fly to Tokyo.
Я заказал пиццу;I ordered pizza.
Она доверилась не тому человеку;She trusted the wrong person.
Ты кладёшь соль в суп?;Do you put salt in soup?
Ты готовишь ужин каждый день;You cook dinner every day.
Я помыл машину вчера;I washed the car yesterday.
Я не буду читать всё;I won't read all of it+I will not read all of it.
Мы отправили письмо;We sent an email.
Он уходит рано?;Does he leave early?
Она не пьёт кофе;She doesn't drink coffee+She does not drink coffee.
Я узнаю его в следующий раз (recognize);I will recognize him next time.
Ты уничтожил письмо? (destroy);Did you destroy the letter?
Она выступит с речью? (give a speech);Will she give a speech?
Сначала они не согласились;They didn't agree at first+They did not agree at first.
Он уже ушёл?;Did he leave already?
Она опишет план;She will describe the plan.
Он летел первым классом?;Did he fly first class?
Она выпила лекарство?;Did she drink the medicine?
Ты часто моешь машину?;Do you wash your car often?
Она скоро даст о себе знать;She will hear from us soon.
Я не буду сохранять этот файл;I won't save that file+I will not save that file.
Мы выпьем за твой успех;We will drink to your success.
Она делает мебель как хобби;She builds furniture as a hobby.
Он не чувствует себя комфортно;He doesn't feel comfortable+He does not feel comfortable.
Мы плавали каждое утро;We swam every morning.
Он никому не доверяет;He trusts no one.
Ты ходил за покупками?;Did you go shopping?
Она пьёт чай по утрам;She drinks tea in the morning.
Ты оплатил счёт?;Did you pay the bill?
У неё большая семья;She has a big family.
Он исправил проблему? (fix a problem);Did he fix the problem?
Я буду выбирать осторожно;I will choose carefully.
Она не будет терять время;She will waste no time.
Мы об этом не переживаем;We don't worry about that+We do not worry about that.
Здесь часто идёт дождь?;Does it rain a lot?
Ты помогаешь маме;You help your mother.
Они покрасили дом в синий цвет;They painted the house blue.
Он меня не понял;He didn't understand me+He did not understand me.
Она не говорит по-немецки;She doesn't speak German+She does not speak German.
Ей что-нибудь нужно?;Does she need anything?
Я одолжу твои конспекты;I will borrow your notes.
Он не кладёт молоко в кофе;He doesn't put milk in coffee+He does not put milk in coffee.
Я заплатил за ужин;I paid for dinner.
Я забыл позвонить;I didn't remember to call+I did not remember to call.
Они не покрасили забор;They didn't paint the fence+They did not paint the fence.
Она бегала сегодня утром?;Did she run this morning?
Им нужно было больше времени;They needed more time.
Он выглядит нервным? (appear nervous);Does he appear nervous?
Они начали новый бизнес;They started a new business.
Она что-нибудь нарисует?;Will she draw something?
Мы не используем наличные;We don't use cash+We do not use cash.
Они поедут безопасно?;Will they drive safely?
Она больше не будет пить;She won't drink any more+She will not drink any more.
Он ловит рыбу по выходным;He catches fish on weekends.
Мы принесли немного еды;We brought some food.
Он отправляет посылки за границу;He sends packages overseas.
Они нас этому не учили;They didn't teach us that+They did not teach us that.
Я объяснил проблему;I explained the problem.
Они часто навещают тебя?;Do they visit you often?
Она тебе звонила?;Did she call you?
Ты недостаточно помогаешь;You don't help enough+You do not help enough.
Он не полетит эконом-классом;He won't fly economy+He will not fly economy.
Я встаю в 6 утра;I get up at 6 am.
Я помню твоё лицо;I remember your face.
Он рано встаёт;He gets up early.
Мы не учимся ночью;We don't study at night+We do not study at night.
Она выгуливает собаку?;Does she walk her dog?
Я не узнаю это место;I won't recognize the place+I will not recognize the place.
Я об этом не думал;I didn't think about that+I did not think about that.
Мы не играем в видеоигры;We don't play video games+We do not play video games.
Я играю в теннис после школы;I play tennis after school.
Ты начинаешь школу в девять часов;You start school at nine o'clock.
Мы обедаем в школе;We have lunch at school.
Они смотрят телевизор после ужина;They watch TV after dinner.
Он играет в футбол;He plays football.
Она ходит в кино;She goes to the cinema.
Она начинает работу в половине восьмого;She starts work at half past seven.
Он встаёт в восемь часов;He gets up at eight o'clock.
Он изучает биологию;He studies biology.
Мы ходим в кино по выходным;We go to the cinema at the weekend.
Я хожу за покупками с братом;I go shopping with my brother.
Мы иногда используем словарь на уроке;We sometimes use a dictionary in class.
Они изучают итальянский в школе;They study Italian at their school.
Школа заканчивается в три часа;School finishes at three o'clock.
Ты живёшь рядом со мной;You live near me.
Ему нравится рэп;He likes rap music.
Она делает домашнее задание перед ужином;She does her homework before dinner.
Мы играем в теннис в школе в среду днём;We play tennis in school on Wednesday afternoon.
Я смотрю телевизор вечером;I watch TV in the evening.
Она преподаёт искусство;She teaches art.
Она читает книги на английском каждый день;She reads English books daily.
Птицы поют утром;The birds sing a song in the morning.
Он любит играть в футбол;He loves to play football.
Река течёт к океану;The river flows towards the ocean.
Они преподают в государственной школе;They teach in a public school.
Мы ходим на овощной рынок каждый день;We go to the vegetable market daily.
Я чувствую себя счастливым;I feel happy.
Она делает упражнения каждое утро;She exercises every morning.
Её собака громко лает;Her dog barks loudly.
Школа начинается в восемь часов;My school starts at eight o'clock.
Мы всегда ужинаем вместе;We always eat dinner together.
Они ездят на работу на автобусе;They take the bus to work.
Он носит очки;He wears glasses.
Утки любят воду;Ducks love water.
Солнце встаёт на востоке;The sun rises in the east.
Он любит петь;He enjoys singing.
Обезьяны любят бананы;Monkeys like bananas.
Земля вращается вокруг солнца;The earth goes around the sun.
Зимой часто идёт снег;It often snows in winter.
Мы моем руки;We wash our hands.
Мы едим три раза в день;We eat three meals a day.
Она работает в суде;She works at the court.
Все совершают ошибки;Everyone makes mistakes.
Зима не наступает после весны;Winter does not come after spring.
Он очень хорошо говорит по-английски;He speaks English very well.
Моя собака лает очень громко;My dog barks very loudly.
Она старается не мешать;She tries not to disturb.
Орлы высоко летают в небе;Eagles fly high in the sky.
Она готовит всю еду;She cooks all our meals.
Она смотрит телевизор;She watches TV.
Он изучает французский;He studies French.
Он смотрит телевизор;He watches TV.
Он играет в компьютерные игры;He plays computer games.
Они читают газету;They read the newspaper.
Она идёт ночевать к друзьям;She goes to a sleepover.
Я ем гамбургер каждые выходные;I eat a hamburger every weekend.
Ей нравится классическая музыка;She likes classical music.
Я пью воду;I drink water.
Он помогает друзьям с домашним заданием;He helps his friends with their homework.
Он смешит людей;He makes people laugh.
Она делает работу по дому для родителей;She does the housework for her parents.
Я хочу вступить в фан-клуб;I want to join a fan club.
Мы видимся каждую неделю;We see each other every week.
Она носит новую одежду;She wears new clothes.
Они носят полосатые футболки;They wear striped T-shirts.
Вода превращается в пар при нагревании;Water turns into steam when heated.
Они часто помогают мне;They often help me.
Он не любит овощи;He doesn't like vegetables+He does not like vegetables.
Я не хочу ничего пить;I don't want anything to drink+I do not want anything to drink.
Это маленькое чёрное платье стоит недорого;This little black dress costs little.
Эти дети не говорят по-английски;Those kids don't speak English+Those kids do not speak English.
Я изучаю французский;I study French.
Школа заканчивается в два часа;School finishes at two o'clock.
Ты списываешь у других учеников;You copy from other students.
Мы считаем английский лёгким;We think English easy.
Они играют в волейбол;They play volleyball.
Я смотрю телевизор в субботу утром;I watch TV on Saturday morning.
Она говорит по-китайски;She speaks Chinese.
Собака любит кошек;The dog likes cats.
Они слушают поп-музыку;They listen to pop music.
Я играю со своим хомяком каждый день;I play with my hamster every day.
Она не встаёт в семь часов;She doesn't get up at seven o'clock+She does not get up at seven o'clock.
Она не знает, что делать;She doesn't know what to do+She does not know what to do.
Она не любит ходить за покупками;She doesn't like shopping+She does not like shopping.
Он не живёт в Лондоне;He doesn't live in London+He does not live in London.
Он не работает в супермаркете;He doesn't work in a supermarket+He does not work in a supermarket.
Она не смотрит телевизор;She doesn't watch TV+She does not watch TV.
Он не изучает французский;He doesn't study French+He does not study French.
Он не читает журналы;He doesn't read magazines+He does not read magazines.
Она не звонит подруге;She doesn't phone a friend+She does not phone a friend.
Я не ем пиццу;I don't eat pizza+I do not eat pizza.
Он не любит общаться с новыми людьми;He doesn't like new people+He does not like new people.
Дети не ездят в школу на автобусе;The children don't go to school by bus+The children do not go to school by bus.
Он не одалживает мне велосипед;He doesn't lend me his bike+He does not lend me his bike.
Она не коллекционирует марки;She doesn't collect stamps+She does not collect stamps.
Холодная вода не превращается в пар;Cold water doesn't turn into steam+Cold water does not turn into steam.
Я не умею плавать;I can't swim+I cannot swim.
Ты рано встаёшь утром?;Do you get up early in the morning?
Он говорит по-английски?;Does he speak English?
Ты живёшь рядом со школой?;Do you live near the school?
Ученики едят в столовой?;Do students eat in the canteen?
Он ходит в школу в субботу?;Does he go to school on Saturday?
Они живут рядом с тобой?;Do they live near you?
Школа заканчивается в три часа?;Does school finish at three o'clock?
Я встаю рано утром;I get up early in the morning.
Она делает домашнее задание после школы;She does homework after school.
Они проводят время вечером дома;They spend time at home in the evening.
Ты правильно пишешь это слово по-английски;You spell this word correctly in English.
Она начинает школу рано;She starts school early.
Он часто пользуется интернетом;He uses the internet often.
Она слушает музыку?;Does she listen to music?
Она убирает свою комнату?;Does she tidy her room?
Ты играешь в футбол с друзьями;You play football with friends.
Она проводит субботу дома;She spends Saturday at home.
Он быстро печатает?;Does he type very fast?
Тебе нравится мой новый велосипед?;Do you like my new bike?
Она ходит в школу пешком?;Does she walk to school?
Она читает в постели?;Does she read in bed?
Младенцы спят днём?;Do babies sleep during the day?
Ты обычно ходишь на тренировку пешком;You usually walk to football practice.
Ты следуешь ежедневному распорядку;You follow a daily routine.
Ты регулярно занимаешься спортом;You exercise regularly.
Ты предпочитаешь работать из дома;Do you prefer working from home?
Ты описываешь свой день подробно;You describe your daily routine.
Мы играли в видеоигры после школы;We played video games after school.
Я приготовил вкусную еду;I cooked delicious food.
Она надела новую одежду на вечеринку;She wore new clothes to the party.
Он понял все примеры;He understood all the examples.
Они потратили все деньги на поездку;They spent all the money on the trip.
Я потерял кошелёк в офисе;I lost my wallet in the office.
Он вырастил розу в горшке;He grew a rose plant in a pot.
Я пошёл в магазин;I went to the store.
Она сдала тест в прошлую пятницу;She took the test last Friday.
Мы разговаривали часами;We talked for hours.
Ребёнок играл на площадке;The child played at the playground.
Ему очень понравилось вчера;He enjoyed the day yesterday.
Мы катались на роликах в прошлую субботу;We went roller-skating last Saturday.
Мне очень понравилась опера вчера;I enjoyed the opera yesterday.
Учёный изобрёл телескоп в 1668 году;He invented the telescope in 1668.
Люди предпочитали чай кофе;They preferred tea to coffee.
Я написал сочинение вчера;I wrote an essay yesterday.
Мы ходили в библиотеку вчера;We went to the library yesterday.
Представление началось час назад;The show started an hour ago.
Он катался на лыжах в прошлом году;He went skiing last year.
Я путешествовал по Европе в прошлом месяце;I traveled to Europe last month.
Они переехали в новый дом на прошлой неделе;They moved to a new house last week.
Она изучала французский в университете;She studied French at university.
Он работал в банке пять лет;He worked at the bank for five years.
Она попала в аварию в детстве;She had a car accident in childhood.
Позже она боялась машин;She feared cars later.
Потом она встретила водителя;She met a driver later.
Он помогал ей каждый день;He helped her every day.
Со временем она стала водителем;She became a driver later.
Теперь она водит машину очень быстро;She drives very fast now.
Ей нравится водить машину;She enjoys driving.
Я видел тебя вчера в кафе;I saw you yesterday at the cafe.
Они купили новую мебель в прошлом месяце;They bought new furniture last month.
Она научилась водить в восемнадцать лет;She learned to drive at eighteen.
Он позвонил мне сегодня утром;He called me this morning.
Я не знал о встрече (know about);I didn't know about the meeting+I did not know about the meeting.
Он не принимал душ;He didn't take a shower+He did not take a shower.
Мы не купили ничего в поездке;We didn't buy anything on our trip+We did not buy anything on our trip.
У нас не было достаточно еды для всех (have enough food);We didn't have enough food for everyone+We did not have enough food for everyone.
Она никому не рассказала секрет (tell a secret);She didn't tell anyone the secret+She did not tell anyone the secret.
Они не играли в саду;They didn't play in the garden+They did not play in the garden.
Она не смотрела телевизор вчера;She didn't watch TV yesterday+She did not watch TV yesterday.
Я не ходил на вечеринку;I didn't go to the party+I did not go to the party.
Они не покупали новый дом в городе;They didn't buy a new house in the city+They did not buy a new house in the city.
Мы не ходили в библиотеку вчера;We didn't go to the library yesterday+We did not go to the library yesterday.
Она плохо готовилась к экзамену (study hard);She didn't study hard during the exam+She did not study hard during the exam.
Я не слушал лекцию внимательно (pay attention);I didn't pay attention to the lecture+I did not pay attention to the lecture.
Она не следила за детьми в парке (watch kids);She didn't watch her kids at the park+She did not watch her kids at the park.
Они не слушали инструкции учителя (listen to instructions);They didn't listen to the teacher's instructions+They did not listen to the teacher's instructions.
Мы не путешествовали во время весенних каникул (travel);We didn't travel over spring break+We did not travel over spring break.
Он плохо себя чувствовал вчера;He didn't feel well yesterday+He did not feel well yesterday.
Я не говорил по-французски на встрече;I didn't speak French at the meeting+I did not speak French at the meeting.
Она не завтракала сегодня утром;She didn't eat breakfast this morning+She did not eat breakfast this morning.
Они не прибыли вовремя (arrive on time);They didn't arrive on time+They did not arrive on time.
Он не понял вопрос;He didn't understand the question+He did not understand the question.
Я не могу вспомнить, что произошло (can't remember);I can't remember what happened+I cannot remember what happened.
Мы не смогли найти дом (couldn't find);We couldn't find the house+We could not find the house.
Она легла спать рано ночью;Did she sleep early in the night?
Тебе понравился торт?;Did you like the cake?
Он ходил в школу вчера?;Did he go to school yesterday?
У неё был велосипед в прошлом году?;Did she have a bike last year?
Фильм начался в 8 вечера?;Did the film start at 8 PM?
Они купили яблоки вчера?;Did they buy apples yesterday?
Она жила в этом городе в прошлом году;Did she live there last year?
Он пользовался телефоном вчера;Did he use the phone yesterday?
Ты слушал музыку на прошлой неделе;Did you listen to music last week?
Мы смотрели футбол в прошлом году;Did we watch football last year?
Она ела пиццу вчера;Did she eat pizza yesterday?
Ты играл в крикет на прошлой неделе;Did you play cricket last week?
Ты что-то делал вчера;You did something yesterday.
Ты ездил в отпуск в прошлом году;You went on vacation last year.
Ты рассказывал о последней книге;You talked about the last book you read.
Ты проводил выходные дома;You spent the weekend at home.
Ты ел хорошую еду на прошлой неделе;You ate good food last week.
Ты получил моё письмо (get an email);Did you get my email?
Авария произошла недавно;The accident happened recently.
Он ездил в тот город;Did he go there?
Тебе понравилась книга;Did you like the book?
Мы пользовались телефоном;Did we use the phone?
У неё был хороший день (have a good day);Did she have a good day?
Они съели торт;Did they eat the cake?
Он начал работу (start work);Did he start work?
Она купит новую машину для отца (buy a car);She will buy a new car for her father.
Он прочитает все уроки сегодня;He will read all the lessons today.
Учитель обучит всех учеников (teach students);He will teach all the students.
Они пойдут на рынок вечером;They will go to the market in the evening.
Он проведёт всё время с друзьями (spend time);He will spend all his time with his friends.
Он получит хорошие оценки на экзамене (score marks);He will score good marks in the exam.
Я навещу родителей в следующие выходные;I will visit my parents next weekend.
Она закончит проект к завтрашнему дню (finish a project);She will finish her project by tomorrow.
Они поедут в отпуск в следующем месяце;They will go on vacation next month.
Мы поужинаем в хорошем ресторане сегодня вечером;We will have dinner at a fancy restaurant tonight.
Он начнёт новую работу на следующей неделе;He will start his new job next week.
Мы напишем сочинение завтра;We will write an essay tomorrow.
Он встретит меня на вокзале в воскресенье (meet at the station);He will meet me at the railway station next Sunday.
Они поженятся через две недели (get married);They will get married in two weeks.
У него есть два сына и дочь;He has two sons and a daughter.
Я открою автошколу (open a school);I will open a driving school.
Он поступит в колледж;He will go to college.
Она выполнит работу хорошо (do a good job);She will do a good job.
Они поженятся скоро;They will get married soon.
Он станет хорошим актёром (become an actor);He will become a good actor.
Учитель будет преподавать в классе;The teacher will teach in a classroom.
Я буду худеть каждый день → Я буду худеть;I will lose weight.
Она посмотрит фильм на телефоне;She will watch a movie on her phone.
Они построят дом (build a house);They will build a house.
Я проработаю в этой компании (work in a company);I will work in this company.
Он выучит все уроки;He will learn all the lessons.
Они расскажут друзьям;They will tell friends.
Ты будешь путешествовать в этом году?;Will you travel this year?
Ты будешь изучать новый язык в следующем году?;Will you study a new language next year?
Я не закончу домашнее задание (complete homework);I won't complete my homework+I will not complete my homework.
Она не купит новую машину в этом году;She won't buy a new car this year+She will not buy a new car this year.
Мы не закончим задание вовремя (complete an assignment);They will not complete the assignment on time.
Мы не пойдём на концерт в субботу;We won't go to the concert on Saturday+We will not go to the concert on Saturday.
Он не сдаст экзамен без подготовки (pass an exam);He will not pass the exam without studying.
Я не буду работать завтра;I won't work tomorrow+I will not work tomorrow.
Она не позвонит мне сегодня вечером;She won't call me tonight+She will not call me tonight.
Они не приедут к пяти часам (arrive on time);They won't arrive at 5 PM+They will not arrive at 5 PM.
Мы не будем есть в этом ресторане;We won't eat at this restaurant+We will not eat at this restaurant.
Он не поймёт урок;He won't understand the lesson+He will not understand the lesson.
Я не могу присутствовать на встрече завтра (can't attend);I can't attend the meeting tomorrow+I cannot attend the meeting tomorrow.
Мы не закончим вовремя (finish on time);We won't finish on time+We will not finish on time.
Она не будет работать в офисе на следующей неделе;She won't work in the office next week+She will not work in the office next week.
Они не увидят нас там;They won't see us there+They will not see us there.
Я не буду присутствовать на вечеринке завтра (attend a party);I won't attend the party tomorrow+I will not attend the party tomorrow.
Он выпьет стакан воды?;Will he drink a glass of water?
Ты поужинаешь дома сегодня вечером;Will you eat dinner at home tonight?
Ты купишь что-нибудь особенное в этом месяце (buy something special);Will you buy anything special this month?
Ты поедешь в другую страну при возможности (visit another country);Will you visit another country if you get the chance?
Ты будешь отдыхать в следующие выходные;Will you rest next weekend?
Они навестят нас в следующем месяце;Will they visit us next month?
Ты закончишь работу к пятнице (finish by Friday);Will you finish the work by Friday?
Встреча начнётся завтра (start a meeting);Will the meeting start tomorrow?
Она останется дома сегодня вечером;Will she stay at home tonight?
Ты прочитаешь книги в этом году;Will you read books this year?
Мы встретимся в кафе завтра;Will we meet at the cafe tomorrow?
Что-то произойдёт дальше → Произойдут изменения;Changes will happen next.
Завтра пойдёт дождь?;Will it rain tomorrow?
Мы узнаем результаты скоро;We will know the results soon.
Кто-то поможет нам с проектом → Нам помогут с проектом;They will help us with this project.
Я играю в теннис каждый понедельник;I play tennis every Monday.
Вчера я играл в теннис с другом;Yesterday I played tennis with my friend.
На следующей неделе я буду играть в теннис на турнире (play in a tournament);Next week I will play tennis in a tournament.
Она изучает английский каждый день;She studies English every day.
Она изучала английский в прошлом году;She studied English last year.
Она будет изучать английский в университете (study at university);She will study English in university.
Ты обычно завтракаешь?;Do you usually eat breakfast?
Ты ел завтрак сегодня утром?;Did you eat breakfast this morning?
Ты пообедаешь со мной завтра?;Will you eat lunch with me tomorrow?
Он не любит острую еду;He doesn't like spicy food+He does not like spicy food.
Ему не понравился ужин вчера;He didn't like the dinner yesterday+He did not like the dinner yesterday.
Ему не понравится ресторан завтра;He won't like the restaurant tomorrow+He will not like the restaurant tomorrow.
Вода кипит при 100 градусах Цельсия;Water boils at 100 degrees Celsius.
Вода закипит через несколько минут;The water will boil in a few minutes.
Я хожу в школу каждый день;I go to school every day.
Я ходил в школу вчера;I went to school yesterday.
Я пойду в школу завтра;I will go to school tomorrow.
Он работает в офисе;He works in an office.
Он работал в банке в прошлом году;He worked in a bank last year.
Он будет работать в новой компании в следующем месяце (work in a company);He will work in a new company next month.
Я не знаю ответ;I don't know the answer+I do not know the answer.
Я не знал о встрече (know about);I didn't know about the meeting+I did not know about the meeting.
Я не буду знать до завтра;I won't know until tomorrow+I will not know until tomorrow.
Птицы поют утром;The birds sing in the morning.
Птицы пели сегодня утром;The birds sang this morning.
Птицы будут петь завтра утром;The birds will sing tomorrow morning.
